URL;Name;Ort;Bundesland;Land;Typ
http://c3w.at/;C3W;Wien;-;Österreich;Erfa
http://nerd2nerd.org;nerd2nerd;Wuerzburg;Bayern;Deutschland;Erfa
http://chaostreff-ag.tuners.ch/;Chaostress Aargau;Aargau;-;Schweiz;Chaostreff
http://chaos.amsterdam/;Chaos Amsterdam;Amsterdam;-;Niederlande;Chaostreff
http://www.c3a.de/;Chaostreff Augsburg;Augsburg;Bayern;Deutschland;Chaostreff
http://www.schaffenburg.org/;Hackerspace Schaffenburg;Aschaffenburg;Bayern;Deutschland;Chaostreff
http://www.chaostreff.ch/;Chaostreff Basel;Basel;-;Schweiz;Chaostreff
http://www.chaosbern.ch/;Chaostreff Bern;Bern;-;Schweiz;Chaostreff
http://hackerspace-bielefeld.de/;Hackerspace Bielefeld;Bielefeld;Nordrhein-Westfalen;Deutschland;Chaostreff
http://hsbp.org/contact-us;H.A.C.K.;Budapest;-;Ungarn;Chaostreff
http://chaoschemnitz.de/;Chaostreff Chemnitz;Chemnitz;Sachsen;Deutschland;Chaostreff
http://hackzogtum-coburg.de/;Hackzogtum Coburg;Coburg;Bayern;Deutschland;Chaostreff
http://chaostreff-flensburg.de/;Chaostreff Flensburg;Flensburg;Schleswig-Holstein;Deutschland;Chaostreff
http://mag.lab.sh/;Magaretha Laboratories;Fulda;Hessen;Deutschland;Chaostreff
http://giessen.ccc.de/;Chaostreff Gießen/Marburg;Gießen;Hessen;Deutschland;Chaostreff
http://realraum.at/;RealRaum;Graz;-;Österreich;Chaostreff
https://eigenbaukombinat.de/;Eigenbaukombinat;Halle;Sachsen-Anhalt;Deutschland;Chaostreff
http://www.noname-ev.de/;NoName e.V.;Heidelberg;Baden-Württemberg;Deutschland;Chaostreff
http://hickerspace.org/;Hickerspace;Hildesheim;Niedersachsen;Deutschland;Chaostreff
http://www.bytewerk.org/;Bytewerk;Ingolstadt;Bayern;Deutschland;Chaostreff
http://it-syndikat.org/;IT-Syndikat;Innsbruck;-;Österreich;Chaostreff
http://chaos-consulting.de/;Chaos Consulting e.V.;Iserlohn;Nordrhein-Westfalen;Deutschland;Chaostreff
http://cciz.de/;Computerclub Itzehoe e.V.;Itzehoe;Schleswig-Holstein;Deutschland;Chaostreff
http://hackspace-jena.de/;Chaostreff Jena;Jena;Thüringen;Deutschland;Chaostreff
http://toppoint.de/;Chaostreff Kiel;Kiel;Schleswig-Holstein;Deutschland;Chaostreff
http://www.hacknology.de/;HacKNology e.V.;Konstanz;Baden-Württemberg;Deutschland;Chaostreff
http://www.c3le.de/;c3le;Leipzig;Sachsen;Deutschland;Chaostreff
http://www.chaotikum.org/;Chaostreff Lübeck;Lübeck;Schleswig-Holstein;Deutschland;Chaostreff
http://www.c3l.lu/;CCC Luxemburg;Luxemburg;-;Luxemburg;Chaostreff
https://bodensee.space/chaostreff-markdorf;Toolbox Bodensee e.V.;Markdorf;Baden-Württemberg;Deutschland;Chaostreff
http://www.warpzone.ms/;Warpzone;Münster;Nordrhein-Westfalen;Deutschland;Chaostreff
http://fnordeingang.de/chaostreff;Fnordeingang e.V.;Neuss;Nordrhein-Westfalen;Deutschland;Chaostreff
http://fablab-nuernberg.de/veranstaltungen/chaostreff/;Chaostreff Nürnberg;Nürnberg;Bayern;Deutschland;Chaostreff
http://section77.de/;Chaostreff Offenburg;Offenburg;Baden-Württemberg;Deutschland;Chaostreff
http://ctreffos.de/;Chaostreff Osnabrück;Osnabrück;Niedersachsen;Deutschland;Chaostreff
http://c3re.de/;Chaostreff Recklinghausen;Recklinghausen;Nordrhein-Westfalen;Deutschland;Chaostreff
http://binary.kitchen/;Binary Kitchen;Regensburg;Bayern;Deutschland;Chaostreff
http://ccc.zerties.org/;Chaostreff Rothenburg;Rothenburg;Bayern;Deutschland;Chaostreff
http://www.pixelbar.nl/contact/;Chaostreff Rotterdam;Rotterdam;-;Niederlande;Chaostreff
http://chaostreff-siegen.de/;Chaostreff Siegen;Siegen;Nordrhein-Westfalen;Deutschland;Chaostreff
http://www.maschinendeck.org/;Maschinendeck e.V.;Trier;Rheinland-Pfalz;Deutschland;Chaostreff
http://vspace.one/;Vspace.one;Villingen;Baden-Württemberg;Deutschland;Chaostreff
http://www.ctldk.de/;Chaostreff Wetzlar;Wetzlar;Hessen;Deutschland;Chaostreff
http://chaostreff.dingens.org/;Chaostreff Winterthur;Winterthur;-;Schweiz;Chaostreff
http://www.chaostal.de/category/meeting;Chaostreff Wuppertal;Wuppertal;Nordrhein-Westfalen;Deutschland;Chaostreff
http://aachen.ccc.de/;CCC Aachen;Aachen;Nordrhein-Westfalen;Deutschland;Erfa
http://www.hackerspace-bamberg.de/;Hackerspace Bamberg;Bamberg;Bayern;Deutschland;Erfa
http://berlin.ccc.de/;CCC Berlin;Berlin;Berlin;Deutschland;Erfa
http://www.ccchb.de/;CCC Bremen;Bremen;Bremen;Deutschland;Erfa
http://chaos-darmstadt.de/;CCC Darmstadt;Darmstadt;Hessen;Deutschland;Erfa
http://www.c3d2.de/;CCC Dresden;Dresden;Sachsen;Deutschland;Erfa
http://www.chaosdorf.de/;CCC Düsseldorf;Düsseldorf;Nordrhein-Westfalen;Deutschland;Erfa
http://erlangen.ccc.de/;Bits’n’Bugs e.V.;Erlangen;Bayern;Deutschland;Erfa
http://chaospott.de/;Chaospott;Essen;Nordrhein-Westfalen;Deutschland;Erfa
http://ccc-ffm.de/hackerspace/;CCC Frankfurt;Frankfurt;Hessen;Deutschland;Erfa
http://www.cccfr.de/;CCC Freiburg;Freiburg;Baden-Württemberg;Deutschland;Erfa
http://www.chaostreff-goettingen.de/;CCC Göttingen;Göttingen;Niedersachsen;Deutschland;Erfa
http://hamburg.ccc.de/;CCC Hamburg;Hamburg;Hamburg;Deutschland;Erfa
http://hannover.ccc.de/;CCC Hannover;Hannover;Niedersachsen;Deutschland;Erfa
http://entropia.de/;Entropia;Karlsruhe;Baden-Württemberg;Deutschland;Erfa
http://kassel.ccc.de/;CCC Kassel;Kassel;Hessen;Deutschland;Erfa
