URL;Brand;HQ;Owner
http://abarth.it/;Abarth;Italy;Fiat S.p.A
http://acura.com/;Acura;Japan;Honda
http://arashcars.com/;Arash;United Kingdom;Arash Motor
http://alfaromeo.com/;Alfa Romeo;Italy;Fiat S.p.A
http://arielmotor.co.uk/;Ariel Motor Company;England;Ariel Motor Company
http://ascari.net/;Ascari;England;Ascari
http://astonmartin.com/;Aston Martin;United Kingdom;Ford / Prodrive boss David Richards / Adeem Investment / Investindustrial
http://audi.com/;Audi;Germany;Volkswagen Group
http://bentleymotors.com/;Bentley;United Kingdom;Volkswagen Group
http://bowlermotorsport.com/;Bowler;United Kingdom;Bowler Offroad (cars based on Land Rovers and Range Rovers)
http://bmw.com/;BMW;Germany;BMW Group
http://bac-mono.com/;Briggs Automotive Company (BAC);United Kingdom;Briggs Automotive Company
http://bristolcars.co.uk/;Bristol Cars;United Kingdom;Kamkorp
http://brookecars.co.uk/;Brooke Cars;United Kingdom;Brooke Cars Ltd
http://bugatti.com/;Bugatti;France;Volkswagen Group
http://buick.com/;Buick;USA;General Motors
http://cadillac.com/;Cadillac;USA;General Motors
http://caparo-t1.com/;Caparo Vehicle Technologies;England;Caparo Vehicle Technologies
http://caterham.co.uk/;Caterham;United Kingdom;Caterham Group
http://cheryinternational.com/;Chery;China;State-owned
http://chevrolet.com/;Chevrolet;USA;General Motors
http://chevrongtcars.com/;Chevron Cars Ltd/Chevron Racing Cars Ltd;United Kingdom;Roger Andreason/Vin Malkie
http://chrysler.com/;Chrysler;USA;Fiat S.p.A
http://citroen.com/;Citroen;France;PSA Peugeot Citroen
http://chevrolet.com/corvette-sports-cars;Corvette;USA (Chevrolet);Chevrolet / General Motors
http://daciagroup.com/;Dacia;Romania;Renault
http://daihatsu.com/;Daihatsu;Japan;Toyota Group
http://datsun.com/;Datsun;Japan;Nissan Motor Company
http://dodge.com/;Dodge;USA;Chrysler Group LLC
http://donkervoort.com/;Donkervoort;Netherlands;Donkervoort
http://ferrari.com/;Ferrari;Italy;Fiat S.p.A / Piero Ferrari
http://fiat.com/;Fiat;Italy;Fiat S.p.A
http://fiskerautomotive.com/;Fisker;USA;Fisker Automotive Inc
http://ford.com/;Ford;USA;Ford Motor Company
http://fpv.com.au/;FPV (Ford Performance Vehicles);Australia;Ford Motor Company
http://ginetta.com/;Ginetta;United Kingdom;LNT Group
http://gmc.com/;GMC;USA;General Motors
http://hennesseyperformance.com/;Hennessey (car modifying firm);USA;Hennessey Performance Engineering
http://www.holden.com.au/;Holden;Australia;General Motors
http://honda.com/;Honda;Japan;Honda Motor Company
http://worldwide.hyundai.com/;Hyundai;South Korea;Hyundai Motor Company
http://infiniti.com/;Infiniti;Hong Kong;Nissan Motor Company
http://isuzu.co.jp/world;Isuzu;Japan;Isuzu Motors Limited
http://jaguar.com/;Jaguar;United Kingdom;Jaguar Land Rover Automotive PLC (subsidiary of Tata Motors)
http://jeep.com/;Jeep;USA;Chrysler Group LLC
http://joss.com.au/;Joss;Australia;JOSS Developments Limited
http://kamaz.ru/;Kamaz;Russia;multiple
http://kia.com/;Kia;South Korea;Hyundai Motor Company
http://koenigsegg.com/;Koenigsegg;Sweden;Koenigsegg
http://www.ktm.com/;KTM (X-Bow);Austria;KTM AG
http://lamborghini.com/;Lamborghini;Italy;Audi AG
http://lancia.com/;Lancia;Italy;Fiat S.p.A
http://landrover.com/;Land Rover;United Kingdom;Jaguar Land Rover (subsidiary of Tata Motors)
http://lexus.com/;Lexus;Japan;Toyota Motor Corporation
http://listercars.com/;Lister;United Kingdom;Warrantywise
http://lincoln.com/;Lincoln Motor Company;USA;Ford Motor Company
http://lotuscars.com/;Lotus;United Kingdom;Proton (subsidiary of DRB Hicom)
http://mahindra.com/;Mahindra & Mahindra;India;Mahindra Group
http://marutisuzuki.com/;MarutiSuzuki;India;Suzuki
http://maserati.com/;Maserati;Italy;Fiat S.p.A
http://mastrettacars.com/;Mastretta;Mexico;Mastretta Cars
http://mazda.com/;Mazda;Japan;Ford Motor Company
http://mclarenautomotive.com/;McLaren Automotive;United Kingdom;McLaren Group
http://mercedes-benz.com/;Mercedes-Benz;Germany;Daimler AG
http://mg.co.uk/;MG Motor;United Kingdom;SAIC Motor
http://mini.com/;Mini;United Kingdom;BMW AG
http://mitsubishi-motors.com/;Mitsubishi;Japan;Mitsubishi Group
http://morgan-motor.co.uk/;Morgan;United Kingdom;Morgan Motor Company
http://nissan-global.com/;Nissan;Japan;Renault S.A. / Nissan
http://noblecars.com/;Noble;United Kingdom;Noble Automotive Ltd
http://opel.com/;Opel;Germany;General Motors
http://pagani.com/;Pagani;Italy;Pagani Automobili S.p.A.
http://perodua.com.my/;Perodua;Malaysia;multiple
http://peugeot.com/;Peugeot;France;PSA Peugeot Citroen
http://porsche.com/;Porsche;Germany;Volkswagen AG
http://proton.com/;Proton;Malaysia;DRB Hicom
http://radicalsportscars.com/;Radical Sportscars;United Kingdom;Radical Sportscars
http://ramtrucks.com/;Ram;USA / Mexico;Chrysler Group LLC
http://renault.com/;Renault;France;Nissan / Renault S.A.
http://roewe.com.cn/;Roewe;China;SAIC Motor
http://rolls-roycemotorcars.com/;Rolls-Royce Motor Cars;United Kingdom;BMW AG
http://ruf-automobile.de/;RUF;Germany;RUF Automobile GmbH
http://saleen.com/;Saleen;USA;Steve Saleen
http://saabcars.com/;Saab;Sweden;National Electric Vehicle Sweden AB
http://scion.com/;Scion;USA;Toyota Motor Corporation
http://seat.com/;Seat;Spain;Volkswagen Group
