URL;Name;Type
http://www.deutsche-bank.de/;Deutsche Bank AG;privat
http://www.commerzbank.de/;Commerzbank AG;privat
http://www.kfw.de/;Kreditanstalt für Wiederaufbau;öfftl.
http://www.dzbank.de/;DZ Bank AG (no login);WGZ Bank AG;genoss.;genoss.
http://www.hypovereinsbank.de/;Unicredit Bank AG;privat
http://www.bw-bank.de/;Landesbank Baden-Württemberg (instead of lbbw.de);öfftl.
http://www.bayernlb.com/;Bayerische Landesbank;öfftl.
http://www.nordlb.de/;Norddeutsche Landesbank;öfftl.
http://www.helaba.de/;Hessische Landesabnk;öfftl.
http://www.postbank.de/;Postbank AG;privat
http://www.ing-diba.de/;ING-Diba AG;privat
http://www.nrwbank.de/;NRW.Bank;öfftl.
http://www.deka.de/;Deka Bank;öfftl.
http://www.hsh-nordbank.de/;HSH Nordbank;öfftl.
http://www.rentenbank.de/;Landwirtschaftliche Rentenbank (no login);öfftl.
http://www.dkb.de/;DKB Deutsche Kreditbank AG;öfftl.
http://www.l-bank.de/;Landeskreditbank Baden-Württemberg - Förderbank (no login);öfftl.
http://www.pfandbriefbank.com/;Deutsche Pfandbriefbank AG (no login);privat
http://www.schwaebisch-hall.de/;Bausparkasse Schwäbisch Hall AG;genoss.
http://www.hypothekenbankfrankfurt.com/;Hypothekenbank Frankfurt;privat
http://www.aareal-bank.com/;Aareal Bank AG (no login);privat
http://www.volkswagenbank.de/;Volkswagen Bank GmbH;privat
http://www.lbb.de/;Landesbank Berlin AG;öfftl.
http://www.haspa.de/;Hamburger Sparkasse AG;öfftl.
http://www.santander.de/;Santander Consumer Bank AG;privat
http://www.dghyp.de/;DG Hyp Deutsche Genossenschafts- Hypothekenbank AG (no login);genoss.
http://www.muenchenerhyp.de/;Münchener Hypothekenbank;genoss.
http://www.wlbank.de/;WL Bank AG Westfälische Landschaft Bodenkreditbank;genoss.
http://www.apobank.de/;Deutsche Apotheker- und Ärztebank e.G.;genoss.
http://www.bhw.de/;BHW Bausparkasse AG;privat
http://www.dexia.de/;Dexia Kommunalbank Deutschland AG;privat
http://www.bremerlandesbank.de/;Bremer Landesbank Kreditanstalt Oldenburg;öfftl.
http://www.berlinhyp.de/;Berlin Hyp AG;öfftl.
http://www.deutsche-hypo.de/;Deutsche Hypothekenbank (no login);privat
http://www.dvbbank.com/;DVB Bank SE;privat
http://www.sparkasse-koelnbonn.de/;Sparkasse KölnBonn;öfftl.
http://www.ksk-koeln.de/;Kreissparkasse Köln;öfftl.
http://www.mercedes-benz-bank.de/;Mercedes-Benz Bank AG (no login);privat
http://www.bmwbank.de/;BMW Bank GmbH;privat
http://www.seb.de/;SEB AG;privat
http://www.lfa.de/;LfA Förderbank Bayern;öfftl.
http://www.wuestenrot.de/;Wüstenrot Bausparkasse AG;privat
http://www.hsbc.de/;HSBC Trinkaus & Burkhardt AG;privat
http://www.ikb.de/;IKB Deutsche Industriebank AG;privat
http://www.ibb.de/;IBB Investitionsbank Berlin (no login);öfftl.
http://www.ib-sh.de/;Investitionsbank Schleswig-Holstein (no login);öfftl.
http://www.frankfurter-sparkasse.de/;Frankfurter Sparkasse AG;öfftl.
http://www.sskm.de/;Stadtsparkasse München;öfftl.
http://www.comdirekt.de/;Comdirect Bank AG;privat
