URL;Name;Land;Traeger;Promotionsrecht;Gruendung;Studierende;AS;WikiUrl;Stand
http://www.fh-aachen.de/;FH Aachen (FHA);NW;staatlich;nein;1971;13671;AS680;/wiki/FH_Aachen;2016/17 (WS)
http://www.rwth-aachen.de/;RWTH Aachen (RWTH);NW;staatlich;ja;1870;44517;AS47610;/wiki/RWTH_Aachen;2016/17 (WS)
http://www.hs-aalen.de/;Hochschule Aalen (HAA);BW;staatlich;nein;1962;4970;AS553;/wiki/Hochschule_Aalen;2012/13 (WS)
http://www.hs-albsig.de/;Hochschule Albstadt-Sigmaringen (HAS);BW;staatlich;nein;1971;2925;AS553;/wiki/Hochschule_Albstadt-Sigmaringen;2012/13 (WS)
http://www.alanus.edu/;Alanus Hochschule für Kunst und Gesellschaft (AHKG);NW;privat;ja;2002;914;AS12581;/wiki/Alanus_Hochschule_f%C3%BCr_Kunst_und_Gesellschaft;2012/13 (WS)
http://www.allensbach-hochschule.de/;Allensbach Hochschule (ABHS);BW;privat;nein;1996;269;AS8495;/wiki/Allensbach_Hochschule;2014/15 (WS)
http://www.fhvd.de/;Fachhochschule für Verwaltung und Dienstleistung (FVD);SH;staatlich;nein;1975;807;AS8560;/wiki/Fachhochschule_f%C3%BCr_Verwaltung_und_Dienstleistung;2012/13 (WS)
http://www.oth-aw.de/;Ostbayerische Technische Hochschule Amberg-Weiden (OTH Amberg-Weiden);BY;staatlich;nein;1994;3500;AS680;/wiki/Ostbayerische_Technische_Hochschule_Amberg-Weiden;2015/16 (WS)
http://www.hs-ansbach.de/;Hochschule Ansbach (HAH);BY;staatlich;nein;1996;3100;AS24940;/wiki/Hochschule_Ansbach;2015/16 (WS)
http://www.h-ab.de/;Hochschule Aschaffenburg (HAB);BY;staatlich;nein;1995;2867;AS680;/wiki/Hochschule_Aschaffenburg;2012/13 (WS)
http://fh-polizei.sachsen-anhalt.de/;Fachhochschule Polizei Sachsen-Anhalt (FPS);ST;staatlich;nein;1997;316;AS21413;/wiki/Fachhochschule_Polizei_Sachsen-Anhalt;2012/13 (WS)
